A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity (m/ms),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity (m/ms),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m),A2 f (kHz),A2 Phase velocity (m/ms),A2 Energy velocity (m/ms),A2 Propagation time (micsec),A2 Coincidence angle (deg),A2 Wavelength (mm),A2 Wavenumber (rad/mm),A2 Attenuation (Np/m),A3 f (kHz),A3 Phase velocity (m/ms),A3 Energy velocity (m/ms),A3 Propagation time (micsec),A3 Coincidence angle (deg),A3 Wavelength (mm),A3 Wavenumber (rad/mm),A3 Attenuation (Np/m),A4 f (kHz),A4 Phase velocity (m/ms),A4 Energy velocity (m/ms),A4 Propagation time (micsec),A4 Coincidence angle (deg),A4 Wavelength (mm),A4 Wavenumber (rad/mm),A4 Attenuation (Np/m)
127.8,2.60509167802325,3.24028468149594,30.8614858969222,7.56583030639145,20.3841289360192,0.308239087718733,0,261.9,6.04544341493949,3.71289223661819,26.933181365663,3.25253420347861,23.0830218210748,0.272199426742431,0,495,6.44966594982518,3.48973981810253,28.6554314110365,3.04848777053668,13.029628181465,0.482222916853267,0,648.9,8.27589989824713,2.48314970496273,40.2714342192675,2.37534084188356,12.7537369367347,0.492654454011991,0,802.8,8.38160929194773,3.1394640795444,31.8525702050753,2.34536603981532,10.4404699700395,0.601810581823435,0
128.7,2.60866714591453,3.24001883115737,30.8640181465485,7.55539992654314,20.2693639931199,0.309984334452344,0,262.8,6.03243950627956,3.70729110941479,26.9738731188513,3.25955313784966,22.9544882278522,0.273723606678182,0,495.9,6.43978193172401,3.49909696327007,28.5788022023103,3.0531711339466,12.9860494690946,0.483841165254521,0,649.8,8.24925834999798,2.48477171627096,40.2451457995811,2.38301658814656,12.6950728685718,0.494931015538663,0,803.7,8.36599705675952,3.14718105758997,31.7744667911091,2.34974530612572,10.4093530630329,0.603609587371313,0
129.6,2.61220133890955,3.23973538054991,30.8667184981713,7.54511826138289,20.155874528623,0.311729729129685,0,263.7,6.01952848660956,3.70152850554924,27.0158665130047,3.26655198527869,22.8271842495622,0.275250124522042,0,496.8,6.43002030509737,3.50821022004153,28.5045632182259,3.05781065639734,12.9428750102604,0.485455148272592,0,650.7,8.22288624229913,2.48651390563426,40.2169478213683,2.39066373365928,12.6369851579824,0.497206036774579,0,804.6,8.35053798777516,3.1547990205355,31.6977402836349,2.35409775742673,10.3784961319602,0.605404215340098,0
130.5,2.61569486303459,3.23943488777399,30.8695817216181,7.53498245558486,20.0436387971999,0.31347528114792,0,264.6,6.00670753899648,3.69560318111173,27.059182249626,3.2735318277513,22.7010866931084,0.276779054329899,0,497.7,6.42037783707559,3.51708231360247,28.4326584035994,3.06240741544837,12.9000961162861,0.48706499940316,0,651.6,8.19678144350391,2.48837941428036,40.1867976507594,2.39828187154165,12.5794681453406,0.49947940839668,0,805.5,8.33522933522178,3.16231901201048,31.6223630886701,2.35842378275508,10.3478948916472,0.607194542752013,0
131.4,2.61914831381786,3.23911789070293,30.872602780845,7.52498972288347,19.9326355693901,0.315220999516415,0,265.5,5.99397389908232,3.68951611089938,27.1038252698193,3.28049374262757,22.5761728778995,0.278310471006819,0,498.6,6.41085139304082,3.52571590999784,28.3630339348757,3.06696246224653,12.8577043582848,0.488670849173089,0,652.5,8.17094187805796,2.49037127232927,40.1546552962237,2.40587058682266,12.5225162882114,0.501751018930158,0,806.4,8.32006841494371,3.16974206569085,31.5483083252721,2.3627237639922,10.3175451574203,0.608980645232338,0
132.3,2.62256227443567,3.23878491931592,30.8757767160166,7.51513734998239,19.8228441000429,0.316966893119338,0,266.4,5.9813248588547,3.68326675185607,27.149812038351,3.28743879996513,22.4524206413465,0.279844450072746,0,499.5,6.40143793614896,3.53411363654763,28.2956379687007,3.07147682080265,12.8156915638618,0.490272824987235,0,653.4,8.14536552626996,2.49249239101131,40.1204835612059,2.41342945617737,12.4661241601928,0.504020754681977,0,807.3,8.30505260953955,3.17706920543546,31.4755498019734,2.36699807514946,10.2874428459551,0.610762596814821,0
133.2,2.62593731855031,3.23843648174137,30.8790987761563,7.50542268694174,19.7142441332606,0.318712970414068,0,267.3,5.96875775840832,3.67685501215777,27.1971561754116,3.29436806643084,22.3298082993203,0.28138106798574,0,500.4,6.39213452033501,3.54227806501741,28.2304206966622,3.07595149042955,12.7740498008294,0.491871051479042,0,654.3,8.12005042163429,2.49474555710131,40.0842481572317,2.42095804839545,12.4102864460252,0.50628849982685,0,808.2,8.2901793656564,3.18430144524947,31.404061995822,2.37124708274945,10.257583971364,0.612540470028838,0
134.1,2.62927400897194,3.23807307358891,30.8825643298918,7.49584314971396,19.6068158760025,0.320459239629511,0,268.2,5.95626999134079,3.6702807303147,27.2458722773028,3.30128260176764,22.2083146582431,0.28292040183461,0,501.3,6.38293828832594,3.55021172154024,28.167334188344,3.08038744583748,12.7327713710871,0.493465650490445,0,655.2,8.09499464268495,2.49713343299766,40.0459177225287,2.42845592651997,12.3549979283958,0.508554136843582,0,809.1,8.27544619045294,3.19143978926518,31.3338200320629,2.37547114646585,10.227964640283,0.614314336054036,0
135,2.63257289814315,3.23769517701816,30.8861688740252,7.48639621745184,19.5005399862455,0.322205708745058,0,269.1,5.9438589966841,3.66354380190776,27.2959749922809,3.30818346269359,22.0879189769012,0.284462529663856,0,502.2,6.37384646741052,3.55791708315967,28.1063323463382,3.08478563834911,12.6918488001006,0.49505674123141,0,656.1,8.07019631383282,2.49965854839064,40.0054639720226,2.43592264736252,12.3002534885426,0.510817546405219,0,810,8.26085065189001,3.19848523181742,31.2647996636767,2.37967061868478,10.1985810517161,0.616084264597019,0
135.9,2.63583452737474,3.23730326662641,30.889907977083,7.47707943344342,19.3953975524263,0.323952385621174,0,270,5.93152226118189,3.65664411585226,27.3474795008026,3.31507170113006,21.9686009673403,0.286007530316587,0,503.1,6.36485636767467,3.56539658707759,28.0473707644305,3.08914699596734,12.6512748313947,0.496644440257324,0,657,8.04565359912612,2.50232329911317,39.9628617275155,2.44335776315841,12.2460480960824,0.513078607717508,0,810.9,8.24639037350127,3.20543875743614,31.1969772524946,2.38384584566385,10.1694294900743,0.617850324181132,0
