A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity (m/ms),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity (m/ms),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m),A2 f (kHz),A2 Phase velocity (m/ms),A2 Energy velocity (m/ms),A2 Propagation time (micsec),A2 Coincidence angle (deg),A2 Wavelength (mm),A2 Wavenumber (rad/mm),A2 Attenuation (Np/m),A3 f (kHz),A3 Phase velocity (m/ms),A3 Energy velocity (m/ms),A3 Propagation time (micsec),A3 Coincidence angle (deg),A3 Wavelength (mm),A3 Wavenumber (rad/mm),A3 Attenuation (Np/m),A4 f (kHz),A4 Phase velocity (m/ms),A4 Energy velocity (m/ms),A4 Propagation time (micsec),A4 Coincidence angle (deg),A4 Wavelength (mm),A4 Wavenumber (rad/mm),A4 Attenuation (Np/m)
2230.2,2.8557652231225,2.97847326677762,33.5742479596565,6.89833056411864,1.28049736486526,4.90683189171634,0,2991.6,3.52110707439458,2.49640833427914,40.0575493307171,5.59019264484591,1.17699795239824,5.33831456068128,0,4406.4,4.37217892752095,2.19558922253218,45.545860297433,4.49951093466565,0.99223377984771,6.33236383883639,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2235.6,2.85604900764178,2.97808751730359,33.5785968071689,6.89764179710041,1.27753131492296,4.91822410439972,0,2997,3.51850980476163,2.49918010470104,40.013122628456,5.59433233390988,1.17401061219941,5.35189822126785,0,4411.8,4.36688106838965,2.19596907415501,45.5379819219353,4.5049809691087,0.989818456953999,6.3478158676845,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2241,2.85633062780125,2.97770304016592,33.5829324318478,6.8969584194412,1.27457859339636,4.92961778876014,0,3002.4,3.51593552959375,2.50193915339841,39.9689975929947,5.59844143705323,1.17104167652336,5.3654668600979,0,4417.2,4.36161085059382,2.1963820888575,45.5294188143818,4.51043568948182,0.98741529715517,6.36326510768265,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2246.4,2.85661009876513,2.97731983859581,33.5872547865609,6.89628039118417,1.27163911091752,4.94101294403102,0,3007.8,3.51338398731368,2.50468547132794,39.9251726992218,5.60252022412657,1.16809095927711,5.37902057821596,0,4422.6,4.35636822424912,2.19682755793426,45.5201864337649,4.51587498774593,0.98502424461835,6.37871132767298,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2251.8,2.85688743960032,2.9769379027361,33.5915639718551,6.89560766296154,1.26871278070891,4.95240956244547,0,3013.2,3.51085491904562,2.50741905490699,39.8816463503782,5.60656896385284,1.16515827659818,5.39255947743351,0,4428,4.35115313349403,2.19730478766034,45.5102999645664,4.52129876240021,0.98264524243316,6.39415430498761,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2257.2,2.85716266720392,2.97655722926909,33.59586001461,6.89494019072866,1.26579951586209,4.96380763971166,0,3018.6,3.50834806922378,2.5101399037984,39.8384169140045,5.61058792279133,1.1622434470363,5.4060836593242,0,4433.4,4.3459655218289,2.19781308962592,45.4997745131368,4.52670691299091,0.980278233822552,6.40959381774558,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2262.6,2.85743579702174,2.97617781907729,33.6001428943528,6.89427793401602,1.26289922965692,4.97520717380316,0,3024,3.50586318617329,2.51284801875067,39.7954827565407,5.61457736433842,1.15934629172397,5.41959322424395,0,4438.8,4.34080532627815,2.19835179168794,45.488624877103,4.53209934623379,0.977923160826834,6.42502965352324,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2268,2.8577068469967,2.97579966453874,33.6044126866653,6.89362084635446,1.26001183730013,4.98660815809696,0,3029.4,3.50340002204219,2.51554340153788,39.7528422442901,5.61853754876512,1.15646663433095,5.43308827134003,0,4444.2,4.33567248204145,2.19892022952792,45.4768657167108,4.53747597122352,0.975579965357421,6.44046160263001,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2273.4,2.85797583296649,2.97542276435141,33.6086693958592,6.89296888643414,1.25713725387811,4.9980105893742,0,3034.8,3.50095833150158,2.51822605896961,39.7104936801891,5.62246873524114,1.15360430061341,5.44656890047879,0,4449.6,4.33056692124198,2.19951774910172,45.4645115006868,4.54283670077847,0.973248588916303,6.45588946003591,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2278.8,2.85824277128951,2.97504711508458,33.612913050339,6.89232201173619,1.25427539551058,5.00941446325819,0,3040.2,3.49853787294569,2.52089599871117,39.6684353702517,5.62637117984382,1.15075911879011,5.46003521031025,0,4455,4.32548857170873,2.20014370906817,45.4515764528641,4.54818145276826,0.970928972325191,6.47131302728823,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
